Product name,Product price,Urls,Reviews count,Star
"Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra, Probability, and Statistics",$53.99,https://www.amazon.com/Essential-Math-Data-Science-Fundamental/dp/1098102932/ref=sr_1_1?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206378&s=books&sprefix=%2Cstripbooks%2C646&sr=1-1, 1  ,5.0
"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, & Wall Street",$59.99,https://www.amazon.com/Ace-Data-Science-Interview-Questions/dp/0578973839/ref=sr_1_2?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206378&s=books&sprefix=%2Cstripbooks%2C646&sr=1-2, 536  ,4.6
"Becoming a Data Head: How to Think, Speak and Understand Data Science, Statistics and Machine Learning",$35.70,https://www.amazon.com/Becoming-Data-Head-Understand-Statistics/dp/1119741742/ref=sr_1_3?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206378&s=books&sprefix=%2Cstripbooks%2C646&sr=1-3, 155  ,4.6
Data Science from Scratch: First Principles with Python,$42.00,https://www.amazon.com/Data-Science-Scratch-Principles-Python/dp/1492041130/ref=sr_1_4?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206378&s=books&sprefix=%2Cstripbooks%2C646&sr=1-4, 569  ,4.4
Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking,$24.49,https://www.amazon.com/Data-Science-Business-Data-Analytic-Thinking/dp/1449361323/ref=sr_1_5?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206378&s=books&sprefix=%2Cstripbooks%2C646&sr=1-5, 933  ,4.5
Python Data Science Handbook: Essential Tools for Working with Data,$40.00,https://www.amazon.com/Python-Data-Science-Handbook-Essential/dp/1491912057/ref=sr_1_6?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206378&s=books&sprefix=%2Cstripbooks%2C646&sr=1-6, 568  ,4.6
Data Science For Dummies (For Dummies (Computer/Tech)),$33.12,https://www.amazon.com/Data-Science-Dummies-Lillian-Pierson/dp/1119811554/ref=sr_1_7?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206378&s=books&sprefix=%2Cstripbooks%2C646&sr=1-7, 29  ,4.7
Practical Statistics for Data Scientists: 50+ Essential Concepts Using R and Python,$59.99,https://www.amazon.com/Practical-Statistics-Data-Scientists-Essential/dp/149207294X/ref=sr_1_8?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206378&s=books&sprefix=%2Cstripbooks%2C646&sr=1-8, 595  ,4.6
Data Science (The MIT Press Essential Knowledge series),$42.49,https://www.amazon.com/Data-Science-Press-Essential-Knowledge/dp/0262535432/ref=sr_1_9?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206378&s=books&sprefix=%2Cstripbooks%2C646&sr=1-9, 369  ,4.5
"Data Science on AWS: Implementing End-to-End, Continuous AI and Machine Learning Pipelines",$49.99,https://www.amazon.com/Data-Science-AWS-End-End/dp/1492079391/ref=sr_1_10?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206378&s=books&sprefix=%2Cstripbooks%2C646&sr=1-10, 124  ,4.4
How to Lead in Data Science,$35.35,https://www.amazon.com/Lead-Data-Science-Jike-Chong/dp/1617298891/ref=sr_1_11?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206378&s=books&sprefix=%2Cstripbooks%2C646&sr=1-11, 28  ,5.0
Python for Data Science: A Hands-On Introduction,$69.99,https://www.amazon.com/Python-Data-Science-Example-Vasiliev/dp/1718502206/ref=sr_1_12?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206378&s=books&sprefix=%2Cstripbooks%2C646&sr=1-12," 3,144  ",4.8
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems",$25.49,https://www.amazon.com/Hands-Machine-Learning-Scikit-Learn-TensorFlow/dp/1492032646/ref=sr_1_13?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206378&s=books&sprefix=%2Cstripbooks%2C646&sr=1-13, 44  ,4.5
Computational Statistics in Data Science,$34.99,https://www.amazon.com/Handbook-Computational-Statistics-Data-Science/dp/1119561078/ref=sr_1_14?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206378&s=books&sprefix=%2Cstripbooks%2C646&sr=1-14," 1,567  ",4.6
The Kaggle Book: Data analysis and machine learning for competitive data science,$31.49,https://www.amazon.com/Data-Analysis-Machine-Learning-Kaggle/dp/1801817472/ref=sr_1_15?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206378&s=books&sprefix=%2Cstripbooks%2C646&sr=1-15," 3,134  ",4.6
"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython",$69.99,https://www.amazon.com/Python-Data-Analysis-Wrangling-IPython/dp/1491957662/ref=sr_1_16?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206378&s=books&sprefix=%2Cstripbooks%2C646&sr=1-16," 2,947  ",4.8
Storytelling with Data: A Data Visualization Guide for Business Professionals,$9.61,https://www.amazon.com/Storytelling-Data-Visualization-Business-Professionals/dp/1119002257/ref=sr_1_17?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206378&s=books&sprefix=%2Cstripbooks%2C646&sr=1-17, 86  ,4.7
"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",$15.95,https://www.amazon.com/Designing-Data-Intensive-Applications-Reliable-Maintainable/dp/1449373321/ref=sr_1_18?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206378&s=books&sprefix=%2Cstripbooks%2C646&sr=1-18, 5  ,4.5
Build a Career in Data Science,$16.33,https://www.amazon.com/Build-Career-Science-Jacqueline-Nolis/dp/1617296244/ref=sr_1_19?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206378&s=books&sprefix=%2Cstripbooks%2C646&sr=1-19, 43  ,4.6
"R in Action, Third Edition: Data analysis and graphics with R and Tidyverse",$69.99,https://www.amazon.com/Action-Third-Robert-I-Kabacoff/dp/1617296058/ref=sr_1_20?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206378&s=books&sprefix=%2Cstripbooks%2C646&sr=1-20, 265  ,4.7
Foundations of Data Science,$43.49,https://www.amazon.com/Foundations-Data-Science-Avrim-Blum/dp/1108485065/ref=sr_1_21?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206378&s=books&sprefix=%2Cstripbooks%2C646&sr=1-21, 542  ,4.6
"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud",$59.99,https://www.amazon.com/Intro-Python-Computer-Science-Data/dp/0135404673/ref=sr_1_22?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206378&s=books&sprefix=%2Cstripbooks%2C646&sr=1-22&selectObb=rent, 223  ,4.5
Mathematics for Machine Learning,$29.99,https://www.amazon.com/Intro-Python-Computer-Science-Data/dp/0135404673/ref=sr_1_22?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206378&s=books&sprefix=%2Cstripbooks%2C646&sr=1-22, 170  ,4.3
"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control",$28.97,https://www.amazon.com/Mathematics-Machine-Learning-Peter-Deisenroth/dp/110845514X/ref=sr_1_23?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206378&s=books&sprefix=%2Cstripbooks%2C646&sr=1-23, 108  ,4.5
"Better Data Visualizations: A Guide for Scholars, Researchers, and Wonks",$74.99,https://www.amazon.com/Data-Driven-Science-Engineering-Learning-Dynamical/dp/1009098489/ref=sr_1_24?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206378&s=books&sprefix=%2Cstripbooks%2C646&sr=1-24, 29  ,4.9
Doing Data Science: Straight Talk from the Frontline,$234.88,https://www.amazon.com/Better-Data-Visualizations-Scholars-Researchers/dp/0231193114/ref=sr_1_25?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206380&s=books&sprefix=%2Cstripbooks%2C646&sr=1-25, 453  ,4.7
"The Python Bible 7 in 1: Volumes One To Seven (Beginner, Intermediate, Data Science, Machine Learning, Finance, Neural Networks, Computer Vision)",$39.94,https://www.amazon.com/Doing-Data-Science-Straight-Frontline/dp/1449358659/ref=sr_1_26?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206380&s=books&sprefix=%2Cstripbooks%2C646&sr=1-26, 221  ,4.7
"Cleaning Data for Effective Data Science: Doing the other 80% of the work with Python, R, and command-line tools",$46.99,https://www.amazon.com/Python-Bible-Beginner-Intermediate-Learning/dp/B0863R7BZS/ref=sr_1_27?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206380&s=books&sprefix=%2Cstripbooks%2C646&sr=1-27, 24  ,4.9
